id,year,date,species,breeding_site_lat,breeding_site_long,habitat_type,floor_level,hatch_date,clutch_size,brood_size,ring_number,body_mass_g,wing_length_mm,release_site_lat,release_site_long,DNSW,PSW1000,PSW2000,trafficvolume500,populationdensity500,trafficvolume1000,populationdensity1000,trafficvolume2000,populationdensity2000
1,2005,01.04.2005,mallard_duck,52.524947,13.301289,courtyard,,,,,JC8002,,,52.548189311735705,13.31221286,276.1203746,0,1,1018.645899,143.7039621,1679.243037,88.71829017,1297.38979,93.85890645
2,2005,04.04.2005,mallard_duck,52.6074164,13.2331878,other,,,,1,,,,,,929.5083812,1,1,158.781105,25.50147611,72.82335882,23.18328967,131.7399759,14.51627701
3,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
4,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
5,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
6,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
7,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
8,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
9,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
10,2005,25.04.2005,mallard_duck,52.5241208,13.3453927,roof_terrace,,,,8,,,,,,127.3921456,0,1,843.3160447,127.6177878,743.988029,147.6704171,858.6172682,78.804839
11,2005,26.04.2005,mallard_duck,52.5104256,13.1995961,balcony,,26.04.2005,12,12,JC54565,750,257,52.510882217221926,13.20226588,162.9484591,1,1,734.5966466,23.64657254,529.6601903,21.79156902,339.15182,26.49087883
12,2005,27.04.2005,mallard_duck,52.5628919,13.2087529,unknown,,,,3,,,,,,426.5026587,0,1,0,138.5489532,117.4912304,67.91984624,111.4260353,38.82885658
13,2005,29.04.2005,mallard_duck,52.443412,13.5843333,roof_terrace,,29.04.2005,,10,JC52194,830,272,52.443997,13.622759,80.89509854,0,1,108.0740038,114.8392166,172.5817779,59.27966737,208.3171725,44.26453188
14,2005,03.05.2005,mallard_duck,52.5006061,13.3917224,other,,03.03.2005,,12,JC54562,897,275,52.49771467626357,13.39238094,316.8116783,0,1,1235.379943,142.1989157,1162.832336,118.6868431,972.9391136,115.5733748
15,2005,04.05.2005,mallard_duck,52.4954884,13.418152795243884,roof_terrace,,04.05.2005,9,6,JC52237,775,,52.482672719805855,13.41168473,34.27896175,0,1,741.4098153,227.3972345,687.2836313,206.1470319,694.6169669,155.936304
16,2005,06.05.2005,mallard_duck,52.5794045,13.3086911,courtyard,,06.05.2005,12,9,JC52213,760,256,52.569360085259525,13.29402247,1380.336702,0,1,133.5526732,25.29735225,478.7672603,50.24541633,639.0966719,54.07344233
17,2005,06.05.2005,mallard_duck,52.5549011,13.451817,roof_terrace,,06.05.2005,13,12,JC52208,840,274,52.554975,13.461614,640.0854531,1,1,534.3747889,72.06970778,354.8139688,87.98830123,484.4208913,74.06032788
18,2005,07.05.2005,mallard_duck,52.43473755,13.33126529713196,balcony,,07.05.2005,,12,JC8025,900,271,52.5167243,13.20097199,804.6753126,0,1,526.2225973,54.97559244,412.9277461,64.31976607,405.4951905,69.26556675
19,2005,07.05.2005,mallard_duck,52.5045614,13.2391797,roof_terrace,,07.05.2005,12,9,JC54563,870,269,52.501312189052975,13.20970148,1710.728565,0,1,651.2756437,18.38749987,345.1696078,14.83870055,190.9893323,13.79737793
20,2005,07.05.2005,mallard_duck,52.5208263,13.1976403,courtyard,,07.05.2005,10,10,JC52220,750,256,52.5167228,13.20097184,482.2855603,1,1,573.9504481,170.5568089,588.8430809,74.1291038,543.6638121,45.08550034
21,2005,07.05.2005,mallard_duck,52.4931855,13.3985903,courtyard,,07.05.2005,10,5,JC52222,780,269,52.48844337274978,13.38198984,427.8734976,0,1,833.3546107,174.9946334,981.3423364,142.3263722,780.6689127,119.6573463
22,2005,08.05.2005,mallard_duck,52.5466549,13.2107275,courtyard,,08.05.2005,,9,JC54566,830,263,52.546204695997716,13.2121437,93.48556268,0,1,440.8211613,96.01944529,331.9962294,69.98951225,351.0923415,61.02892037
23,2005,08.05.2005,mallard_duck,52.5466549,13.2107275,roof_terrace,,07.05.2005,,11,JC54564,770,270,52.5167230,13.20097186,93.48556268,0,1,440.8211613,96.01944529,331.9962294,69.98951225,351.0923415,61.02892037
24,2005,08.05.2005,mallard_duck,52.5269391,13.1959154,roof_terrace,,08.05.2005,12,12,JC54567,790,255,52.5167231,13.20097187,332.0265611,1,1,532.615482,126.0616736,657.3106041,80.3535173,593.0858908,53.09091447
25,2005,09.05.2005,mallard_duck,52.598188,13.3557369,roof_terrace,,09.05.2005,9,8,JC52230,755,,52.60193084821512,13.34817764,2456.614103,0,0,136.8288821,152.2424973,100.0501042,118.3766599,154.1480795,56.50892823
